Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0111161,2023-10-18,2023-10-18,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2809765,1994-09-10,Frank Darabont
2,tt0068646,2023-10-18,2023-10-18,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1958041,1972-03-14,Francis Ford Coppola
3,tt0468569,2023-10-18,2023-10-18,,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie,9.0,152,2008,"Action, Crime, Drama, Thriller",2791411,2008-07-14,Christopher Nolan
4,tt0167260,2023-10-18,2023-10-18,,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,9.0,201,2003,"Action, Adventure, Drama, Fantasy",1923479,2003-12-01,Peter Jackson
5,tt0120737,2023-10-18,2023-10-18,,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Action, Adventure, Drama, Fantasy",1951534,2001-12-10,Peter Jackson
6,tt0109830,2023-10-18,2023-10-18,,Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,"Drama, Romance",2187304,1994-06-23,Robert Zemeckis
7,tt0167261,2023-10-18,2023-10-18,,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,movie,8.8,179,2002,"Action, Adventure, Drama, Fantasy",1735398,2002-12-05,Peter Jackson
8,tt0253474,2023-10-18,2023-10-18,,The Pianist,https://www.imdb.com/title/tt0253474/,movie,8.5,150,2002,"Biography, Drama, Music, War",882009,2002-05-24,Roman Polanski
9,tt0172495,2023-10-18,2023-10-18,,Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1569182,2000-05-01,Ridley Scott
10,tt0120586,2023-10-18,2023-10-18,,American History X,https://www.imdb.com/title/tt0120586/,movie,8.5,119,1998,"Crime, Drama",1161802,1998-07-01,Tony Kaye
11,tt2582802,2023-10-18,2023-10-18,,Whiplash,https://www.imdb.com/title/tt2582802/,movie,8.5,106,2014,"Drama, Music",937806,2014-01-16,Damien Chazelle
